"Colony","AnimalID","Treatment","ExpStart","Dig","Sweep","Kick","NestMaterial","NestBuild","FoodCarry","Miscell","Gnaw","Eat","Groom","SelfGroom","Sparr","Rest","Huddling","OutOfSight","ObservedDuration","DurationSeen","WorkNoGnaw","Nest","Active","Active_NoG","Seen_NoG","Testosterone","Weight","WeightRank","QueueLength","QueueRank","SameSex_CompNB","GroupSize","NB_Adults60","NB_Adults70","NB_Adults80","NB_Adults90"
"Gemsbok 3","G3F011","Tlow",2015-03-06,1.76666666666667,7.81666666666667,1.06666666666667,0,0.0666666666666667,0.55,72.2333333333333,4.13333333333333,49.1833333333333,0.283333333333333,6.71666666666667,4.5,0.116666666666667,0,39.45,187.616666666667,148.166666666667,11.2666666666667,0.0666666666666667,148.05,143.916666666667,144.033333333333,0.289,150,5,6,1,2,13,11,10,10,9
"Gemsbok 3","G3F011","Thigh",2015-02-06,6.15,35.8333333333333,20.1833333333333,0.633333333333333,0.533333333333333,4.06666666666667,133.383333333333,12.2666666666667,26.95,0.716666666666667,4.98333333333333,3.81666666666667,8.68333333333333,2.88333333333333,35.9333333333333,294.416666666667,258.483333333333,67.4,1.16666666666667,249.8,237.533333333333,246.216666666667,0.432,154,5,6,1,1,13,10,10,9,9
"Gemsbok 4","G4F002","Control",2015-03-16,3.95,16.6666666666667,5.33333333333333,1.03333333333333,0.416666666666667,0.45,61.6666666666667,6.9,38.0666666666667,0,2.5,0.35,0,0,46.35,183.666666666667,137.316666666667,27.85,1.45,137.316666666667,130.416666666667,130.416666666667,0.083,162,1,8,1,0,13,11,8,8,7
"Gemsbok 4","G4F002","Tlow",2015-04-14,6.03333333333333,0.666666666666667,0.316666666666667,0,0.15,0,42.5333333333333,0.666666666666667,24.7833333333333,0,1.08333333333333,0,0,0,42.65,118.916666666667,76.2666666666667,7.16666666666667,0.15,76.2666666666667,75.6,75.6,0.34,160,2,8,2,0,13,11,11,8,8
"Gemsbok 4","G4F002","Thigh",2015-03-28,3.1,12.2833333333333,7.48333333333333,0,0,1.23333333333333,87.5833333333333,36.7666666666667,39.2666666666667,0,6.6,0.866666666666667,5.28333333333333,0,37.95,238.416666666667,200.466666666667,24.1,0,195.183333333333,158.416666666667,163.7,0.394,158,1,8,1,1,13,11,11,8,8
"Gemsbok 4","G4F004","Control",2015-04-14,0.05,0,0.316666666666667,0,3.18333333333333,1.41666666666667,39.5166666666667,0,43.7833333333333,1.05,2.08333333333333,0,0.916666666666667,0,41.8166666666667,133.1,91.2833333333333,4.96666666666667,3.18333333333333,90.3666666666667,90.3666666666667,91.2833333333333,0.026,143,5,8,3,0,13,11,11,8,8
"Gemsbok 4","G4F004","Tlow",2015-03-28,0.2,0.566666666666667,1.56666666666667,0.0333333333333333,0.583333333333333,1.26666666666667,100.9,9.03333333333333,24,0.366666666666667,3.38333333333333,0,1.26666666666667,0,49.3166666666667,192.1,142.783333333333,4.21666666666667,0.616666666666667,141.516666666667,132.483333333333,133.75,0.16,144,5,8,3,1,13,11,11,8,8
"Gemsbok 4","G4F004","Thigh",2015-03-16,0.116666666666667,1.26666666666667,1.63333333333333,0.183333333333333,0.283333333333333,0.816666666666667,62.1,0.166666666666667,22.7666666666667,0,5.28333333333333,5.36666666666667,0,0,54.7666666666667,154.75,99.9833333333333,4.3,0.466666666666667,99.9833333333333,99.8166666666667,99.8166666666667,0.597,148,4,8,2,1,13,11,8,8,7
"Lonely 6","L6F001","Control",2015-04-17,3.2,35.65,6.18333333333333,0.0333333333333333,0,3.46666666666667,107.933333333333,64.3,22.2666666666667,0,13.4833333333333,0,5.13333333333333,0,58.35,319.983333333333,261.633333333333,48.5333333333333,0.0333333333333333,256.5,192.2,197.333333333333,0.017,127,6,4,3,2,7,7,7,6,6
"Lonely 6","L6F001","Tlow",2015-03-20,3.5,42.5,7.2,0.233333333333333,0.483333333333333,0.516666666666667,82.9,37.1666666666667,12.1,0,10.8,10.3166666666667,0,0,50.1833333333333,257.866666666667,207.683333333333,54.4333333333333,0.716666666666667,207.683333333333,170.516666666667,170.516666666667,0.243,126,5,4,2,2,7,6,6,6,6
"Lonely 6","L6F001","Thigh",2015-04-03,12.1166666666667,41.3,21.1166666666667,0.25,0.0333333333333333,4.93333333333333,165.85,56.2333333333333,19.4666666666667,0,10.95,0.233333333333333,0.0833333333333333,0,23.6,356.183333333333,332.583333333333,79.75,0.283333333333333,332.5,276.266666666667,276.35,0.254,123,5,4,2,1,7,7,6,6,6
"Lonely 6","L6F005","Control",2015-03-20,8.75,31.15,7.61666666666667,0.85,2.41666666666667,2.6,109.366666666667,61.9333333333333,36.9666666666667,0,11.8666666666667,0.266666666666667,0.733333333333333,0,46.8333333333333,321.416666666667,274.583333333333,53.3833333333333,3.26666666666667,273.85,211.916666666667,212.65,0.01,126,5,4,2,2,7,6,6,6,6
"Lonely 6","L6F005","Tlow",2015-04-03,7,51.9833333333333,16.1333333333333,0.0833333333333333,0.0333333333333333,7.93333333333333,129.216666666667,32.45,37.3666666666667,0,9.11666666666667,2.26666666666667,0,0,37.1333333333333,330.733333333333,293.6,83.1666666666667,0.116666666666667,293.6,261.15,261.15,0.089,134,4,4,1,0,7,7,6,6,6
"Lonely 6","L6F005","Thigh",2015-04-17,3.28333333333333,13.7166666666667,8.26666666666667,1.16666666666667,1.81666666666667,3.65,109.75,61.7,44.8833333333333,0.15,8.46666666666667,11.15,0.0666666666666667,0,32.6166666666667,300.466666666667,267.85,31.9,2.98333333333333,267.783333333333,206.083333333333,206.15,0.187,134,3,4,1,2,7,7,7,6,6
