"SampleID","AnimalID","Delay","Manipulation","Testosterone","Treatment","Date","SampleDate","SampleDelay","TreatmentAll","Colony","WeightDelay_Abs","Weight","QueueLength","QueueRank","SameSex_CompNB","GroupSize","NB_Adults60","NB_Adults70","NB_Adults80","NB_Adults90","WeightRank","CompNB"
855,"G11F011",270,"Focal",0.026,"Control",2015-03-18,2015-03-19,1,"Control","Gemsbok 11",0,125,7,2,0,13,12,12,12,11,6,0
856,"G11F010",188,"Focal",0.208,"Tlow",2015-03-18,2015-03-19,1,"Tlow","Gemsbok 11",0,109,7,4,2,13,12,12,12,11,8,2
867,"L6F005",370,"Focal",0.01,"Control",2015-03-20,2015-03-21,1,"Control","Lonely 6",0,126,4,2,2,7,6,6,6,6,5,2
868,"L6F001",250,"Focal",0.243,"Tlow",2015-03-20,2015-03-21,1,"Tlow","Lonely 6",0,126,4,2,2,7,6,6,6,6,5,2
893,"G11F003",520,"Focal",0.531,"Thigh",2015-03-23,2015-03-24,1,"Thigh","Gemsbok 11",0,108,7,5,2,13,12,12,12,11,9,3
894,"G11F015",390,"Focal",0.044,"Control",2015-03-23,2015-03-24,1,"Control","Gemsbok 11",0,115,7,4,2,13,12,12,12,11,8,2
931,"G4F004",285,"Focal",0.16,"Tlow",2015-03-28,2015-03-29,1,"Tlow","Gemsbok 4",0,144,8,3,1,13,11,11,8,8,5,2
932,"G4F002",340,"Focal",0.394,"Thigh",2015-03-28,2015-03-29,1,"Thigh","Gemsbok 4",2,158,8,1,1,13,11,11,8,8,1,3
1004,"L6F005",240,"Focal",0.089,"Tlow",2015-04-03,2015-04-04,1,"Tlow","Lonely 6",0,134,4,1,0,7,7,6,6,6,4,1
1005,"L6F001",250,"Focal",0.254,"Thigh",2015-04-03,2015-04-04,1,"Thigh","Lonely 6",0,123,4,2,1,7,7,6,6,6,5,1
1015,"G11F003",660,"Focal",0.188,"Tlow",2015-04-05,2015-04-06,1,"Tlow","Gemsbok 11",0,108,7,5,2,13,12,12,12,12,9,3
1016,"G11F015",210,"Focal",0.333,"Thigh",2015-04-05,2015-04-06,1,"Thigh","Gemsbok 11",0,114,7,4,3,13,12,12,12,12,8,3
1062,"G4F004",440,"Focal",0.026,"Control",2015-04-14,2015-04-15,1,"Control","Gemsbok 4",0,143,8,3,0,13,11,11,8,8,5,1
1063,"G4F002",360,"Focal",0.34,"Tlow",2015-04-14,2015-04-15,1,"Tlow","Gemsbok 4",0,160,8,2,0,13,11,11,8,8,2,1
1053,"G3F011",273,"GnRH",0.32,"GnRH",2015-04-14,2015-04-14,0,"GnRH","Gemsbok 3",3,148,6,2,0,13,11,11,11,10,6,0
1054,"G3F008",222,"GnRH",0.06,"GnRH",2015-04-14,2015-04-14,0,"GnRH","Gemsbok 3",3,135,6,3,1,13,11,11,11,10,7,1
1024,"G11F011",182,"GnRH",0.034,"GnRH",2015-04-08,2015-04-08,0,"GnRH","Gemsbok 11",1,124,7,2,1,13,12,12,12,12,6,1
1025,"G11F010",300,"GnRH",0.046,"GnRH",2015-04-08,2015-04-08,0,"GnRH","Gemsbok 11",1,107,7,5,2,13,12,12,12,12,9,3
1026,"G13F007",266,"GnRH",0.038,"GnRH",2015-04-08,2015-04-08,0,"GnRH","Gemsbok 13",1,166,6,2,2,9,9,9,9,9,4,2
1027,"G13F001",203,"GnRH",0.102,"GnRH",2015-04-08,2015-04-08,0,"GnRH","Gemsbok 13",7,168,6,1,2,9,9,9,9,9,3,2
1032,"G1F006",300,"Queen",0.061,"",2015-04-07,2015-04-07,NA,"Queen","Curie",1,129,3,1,0,9,7,5,5,5,3,1
1100,"G11F003",225,"Focal",0.02,"Control",2015-04-20,2015-04-21,1,"Control","Gemsbok 11",0,107,7,5,1,13,12,12,12,12,9,2
1101,"G11F015",325,"Focal",0.213,"Tlow",2015-04-20,2015-04-21,1,"Tlow","Gemsbok 11",0,117,7,4,1,13,12,12,12,12,8,1
1073,"L6F005",178,"Focal",0.187,"Thigh",2015-04-17,2015-04-18,1,"Thigh","Lonely 6",1,134,4,1,2,7,7,7,6,6,3,3
1074,"L6F001",192,"Focal",0.017,"Control",2015-04-17,2015-04-18,1,"Control","Lonely 6",1,127,4,3,2,7,7,7,6,6,6,3
1071,"G10F011",260,"GnRH",0.04,"GnRH",2015-04-18,2015-04-18,0,"GnRH","Gemsbok 10",0,133,7,3,1,19,15,15,15,14,11,1
1072,"G10F015",240,"GnRH",0.051,"GnRH",2015-04-18,2015-04-18,0,"GnRH","Gemsbok 10",0,172,7,1,0,19,15,15,15,14,3,5
1114,"G11F010",240,"Post-Conflict",0.027,"Control",2015-04-24,2015-04-25,1,"Post-Conflict","Gemsbok 11",1,105,7,6,2,13,12,12,12,12,10,3
1115,"G3F011",170,"Post-Conflict",0.42,"Thigh",2015-04-24,2015-04-25,1,"Post-Conflict","Gemsbok 3",0,162,6,2,1,13,11,11,11,10,5,3
1124,"G4F004",147,"Post-Conflict",0.631,"Thigh",2015-04-25,2015-04-26,1,"Post-Conflict","Gemsbok 4",0,145,8,2,0,13,12,12,10,8,4,2
1125,"L6F001",172,"Post-Conflict",0.009,"Control",2015-04-25,2015-04-26,1,"Post-Conflict","Lonely 6",1,125,4,3,2,7,7,7,6,6,6,3
1132,"G10F011",240,"Post-Conflict",0.329,"Thigh",2015-04-26,2015-04-27,1,"Post-Conflict","Gemsbok 10",1,134,7,3,1,19,15,15,15,14,11,1
1137,"G11F011",220,"Post-Conflict",0.384,"Thigh",2015-04-27,2015-04-28,1,"Post-Conflict","Gemsbok 11",0,124,7,2,1,15,12,12,12,12,6,1
1138,"G3F008",225,"Post-Conflict",0.046,"Control",2015-04-27,2015-04-28,1,"Post-Conflict","Gemsbok 3",0,139,6,3,0,13,11,11,11,11,7,0
1142,"G4F002",260,"Post-Conflict",0.09,"Control",2015-04-28,2015-04-29,1,"Post-Conflict","Gemsbok 4",6,158.5,8,1,0,13,12,12,10,8,1,1
1143,"L6F005",180,"Post-Conflict",0.131,"Thigh",2015-04-28,2015-04-29,1,"Post-Conflict","Lonely 6",8,126,4,2,2,7,7,7,6,6,5,3
1160,"G11F010",300,"Post-Conflict",0.378,"Thigh",2015-05-01,2015-05-02,1,"Post-Conflict","Gemsbok 11",6,105,7,6,2,15,12,12,12,12,10,4
1161,"G3F011",200,"Post-Conflict",0.067,"Control",2015-05-01,2015-05-02,1,"Post-Conflict","Gemsbok 3",6,154,6,2,0,13,11,11,11,11,5,1
1169,"G4F004",195,"Post-Conflict",0.027,"Control",2015-05-02,2015-05-03,1,"Post-Conflict","Gemsbok 4",6,142,8,2,0,13,12,11,10,8,4,1
1170,"L6F001",230,"Post-Conflict",0.417,"Thigh",2015-05-02,2015-05-03,1,"Post-Conflict","Lonely 6",6,125,4,3,2,7,7,7,6,6,6,2
1177,"G10F011",205,"Post-Conflict",0.052,"Control",2015-05-03,2015-05-04,1,"Post-Conflict","Gemsbok 10",5,139,7,3,2,19,15,15,15,15,11,2
1184,"G11F011",225,"Post-Conflict",0.034,"Control",2015-05-04,2015-05-05,1,"Post-Conflict","Gemsbok 11",0,130,7,2,1,15,12,12,12,12,6,1
1185,"G4F002",165,"Post-Conflict",0.319,"Thigh",2015-05-04,2015-05-05,1,"Post-Conflict","Gemsbok 4",0,160,8,1,0,13,11,11,10,9,1,1
1144,"G10F015",140,"Post-Conflict",0.066,"Control",2015-04-29,2015-04-30,1,"Post-Conflict","Gemsbok 10",9,178,7,1,0,19,15,15,15,15,2,2
1188,"G3F008",360,"Post-Conflict",0.527,"Thigh",2015-05-05,2015-05-06,1,"Post-Conflict","Gemsbok 3",8,139,6,3,1,13,11,11,11,11,7,1
1189,"L6F005",240,"Post-Conflict",0.036,"Control",2015-05-05,2015-05-06,1,"Post-Conflict","Lonely 6",7,126,4,2,2,7,7,7,6,6,5,2
1190,"G10F015",490,"Post-Conflict",0.198,"Thigh",2015-05-06,2015-05-07,1,"Post-Conflict","Gemsbok 10",2,178,7,1,0,19,15,15,15,15,2,2
1199,"G11F003",150,"GnRH",0.037,"GnRH",2015-05-09,2015-05-09,0,"GnRH","Gemsbok 11",3,111,7,5,2,15,12,12,12,12,9,3
1200,"G11F015",150,"GnRH",0.089,"GnRH",2015-05-09,2015-05-09,0,"GnRH","Gemsbok 11",3,115,7,4,2,15,12,12,12,12,8,2
1201,"G13F001",240,"GnRH",0.14,"GnRH",2015-05-09,2015-05-09,0,"GnRH","Gemsbok 13",0,171,6,3,2,9,9,9,9,9,5,2
1202,"G13F007",195,"GnRH",0.14,"GnRH",2015-05-09,2015-05-09,0,"GnRH","Gemsbok 13",0,172,6,2,2,9,9,9,9,9,4,2
